N°;Désignation;Désignation 2;Code marque;Nomenclature d'élément d'assemblage;Unité de base;Coût ajusté;Prix unitaire;Ancien prix de vente;N° fournisseur;Désignation de recherche;Bloqué;Code catégorie article;Stocks;Stock consolidé;Stratégie d'assemblage;Code traçabilité;Lien article non stocké;Date dern. modification;Dernier coût direct;Éviter stock négatif;Groupe rem. article;Coût unitaire;Modèle échelonnement par défaut;Reference Remplacé;Remplacé par;Replacement Status;Commentaires;Stock Consolidé2;A scanner CB;Qté sur commande achat;Code à Barre;Visible sur portail
;;;;False;;True;0;0;;;False;;0;0;Assembler pour stock;;False;2025-11-06 00:00:00;0;Par défaut;;0;;;;;False;False;False;0;False;True
00007136HE;PARE A BOUE AV GAUCHE;PARE A BOUE AV G;SUZUKI;False;PCS;True;163.3;206.2284;CAR PRO PARTS;PARE A BOUE AV GAUCHE;True;PR;0;0;Assembler pour stock;;False;2024-01-04 00:00:00;134.99;Par défaut;CARRO. 20%;134.99;;;;;False;True;False;0;False;True
00007852PO;CAPOT MOTEUR;;;False;PCS;True;946.608;946.608;CAR PRO PARTS;CAPOT MOTEUR;True;PR;0;0;Assembler pour stock;;False;2024-07-17 00:00:00;788.84;Par défaut;;788.84;;;;;False;False;True;0;False;True
00008745Z6;PORTE AV D;;;False;PCS;True;1887.60348;1712.112;;PORTE AV D;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;1426.76;Par défaut;;1426.76;;;;;False;False;False;0;False;True
00009035AP;ARETTOIRE DE PORTE;TIRANT DE PORTE AV G;;False;PCS;True;86.38418;0;CAR PRO PARTS;ARETTOIRE DE PORTE;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;71.23;Par défaut;;71.23;;;;;False;False;False;0;False;True
00025248S6;ROUE TOLE;;;False;PCS;True;188.35331;170.8416;;ROUE TOLE;True;PR;0;0;Assembler pour stock;;False;2024-02-06 00:00:00;142.368;Par défaut;;142.368;;;;;False;False;False;0;False;True
0007414YZ;RENFORT;;;False;PCS;True;596.06442;540.648;;RENFORT;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;450.54;Par défaut;;450.54;;;;;False;False;False;0;False;True
00074162;LOT SUP PARE CHOC;;;False;PCS;True;62.20305;56.4;;LOT SUP PARE CHOC;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;60.68;Par défaut;;60.68;;;;;False;False;False;0;False;True
0007456O;ARMATURE DE RENFORT P/CHOC;ARMATURE DE RENFORT P/CHOC;;False;PCS;True;287.84246;261.0816;;ARMATURE DE RENFORT P/CHOC;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;217.568;Par défaut;;217.568;;;;;False;False;False;0;False;True
0007840W3;AILE AV D;;;False;PCS;True;453.36432;411.2148;CAR PRO PARTS;AILE AV D;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;342.679;Par défaut;;342.679;;;;;False;False;False;0;False;True
0007842Y5;AILE AV G;;;False;PCS;True;453.36432;411.2148;;AILE AV G;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;342.679;Par défaut;;342.679;;;;;False;False;False;0;False;True
00088251AE;GRILLE D'ENTREE D'AIR D'AUVENT;;;False;PCS;True;418.068;379.2;CAR PRO PARTS;GRILLE D'ENTREE D'AIR D'AUVENT;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;316;Par défaut;;316;;;;;False;False;False;0;False;True
00088665VZ;ENJOLIVEUR ENCADREMENT;;;False;PCS;True;42.336;38.4;CAR PRO PARTS;ENJOLIVEUR ENCADREMENT;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;32;Par défaut;;32;;;;;False;False;False;0;False;True
00089015PK;ENJOLIVEUR GOUSSET PORTE;;;False;PCS;True;158.76;144;;ENJOLIVEUR GOUSSET PORTE;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;120;Par défaut;;120;;;;;False;False;False;0;False;True
00325;filtre;;;False;PCS;True;35.4564;32.16;;FILTRE;True;PR;0;0;Assembler pour stock;;False;2022-12-23 00:00:00;26.8;Par défaut;;26.8;;;;;False;False;False;0;False;True
0052065559;P/BOUE AV D;PARE BOUE AV D;;False;PCS;True;304.42892;276.126;;P/BOUE AV D;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;240.11;Par défaut;;240.11;;;;;False;False;False;0;False;True
0052101773;CAPOT MOTEUR;CAPOT MOTEUR;;False;PCS;True;1077.47987;977.306;;CAPOT MOTEUR;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;849.832;Par défaut;;849.832;;;;;False;False;False;0;False;True
0052109256;OPTIQUE AVANT D;OPTIC D;;False;PCS;True;1044.47763;947.372;;OPTIQUE AVANT D;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;823.803;Par défaut;;823.803;;;;;False;False;False;0;False;True
00533069;BATTERIE L2;;;False;UNITE;True;305.952;0;;BATTERIE L2;False;PR;8;8;Assembler pour stock;;False;2025-03-21 00:00:00;372.68;Par défaut;;253.6295;;;;;False;False;False;0;True;True
00591124;BATTERIE L1;;;False;UNITE;True;317.116;0;;BATTERIE L1;False;PR;21;12;Assembler pour stock;;False;2023-03-08 00:00:00;268.33;Par défaut;;187.79233;;;;;False;False;False;24;True;True
00925S0050;BATTERIE 12V 610A;;;False;PCS;True;0;0;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;258.9;Par défaut;;207.12;;8200956481;;;False;False;False;0;False;True
0092S30050;BATTERIE 12V 56AH 480A S3 005;;;False;PCS;True;189.8505;0;;BATTERIE 12V 56AH 480A S3 005;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;246;Par défaut;;172.2;;;;;False;False;False;0;False;True
0092S40010;BATTERIE 12V 44AH 440 S4;;;False;PCS;True;0;0;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;143;Par défaut;;143;;8200956481;;;False;False;False;0;False;True
0092S40050;BATTERIE 12V 60AH 540A -S4005;;;False;PCS;True;305.3925;0;;BATTERIE 12V 60AH 540A -S4005;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;207.75;Par défaut;;207.75;;;;;False;False;False;0;False;True
0092S40080;BATTERIE 12 V 74AH 680A;BATTERIE 12 V 74AH 680A;;False;PCS;True;319.30605;289.62;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;321.8;Par défaut;;241.35;;;;;False;False;False;0;False;True
0092S40300;BATTERIE 12 40AH 330A;;;False;PCS;True;0;0;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;134;Par défaut;;104.52;;8200956481;;;False;False;False;0;False;True
0092S50050;BATTERIE 12V 63AH 610A -S5005;;;False;PCS;True;350.595;0;;BATTERIE 12V 63AH 610A -S5005;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;222.6;Par défaut;;222.6;;;;;False;False;False;0;False;True
01411M08253-000;STUD BOLT;SOCCLE DE POIGNEE;;False;PCS;True;0;0;;;False;PR;0;0;Assembler pour stock;;False;2023-03-10 00:00:00;0.001;Par défaut;;0.001;;;;;False;False;False;0;False;True
01550-0830A;BOLT;;;False;PCS;True;0;0;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;0;Par défaut;;0;;8200956481;;;False;False;False;0;False;True
01550-0830A-000;BOLT RS413 4WD;BOULON;SUZUKI;False;PCS;True;17.176;16.358398875;CAR PRO PARTS;BOLT RS413 4WD;False;PR;3;3;Assembler pour stock;;False;2023-11-30 00:00:00;1.89;Par défaut;;2.83567;;;;;False;False;False;0;True;True
01550-0855A;BOLT;;;False;PCS;True;0;0;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;0;Par défaut;;0;;8200956481;;;False;False;False;0;False;True
01550-0855A-000;BOLT GSX-R600/K6-;BOULON;SUZUKI;False;PCS;True;17.176;16.3584;CAR PRO PARTS;;False;PR;1;1;Assembler pour stock;;False;2022-03-21 00:00:00;1.89;Par défaut;;2.822;;;;;False;False;False;0;True;True
01550-0880A;BOLT;;;False;PCS;True;0;0;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;0;Par défaut;;0;;8200956481;;;False;False;False;0;False;True
01550-0880A-000;BOLT RS413;BOULON;;False;PCS;True;18.78131;16.224;;;False;PR;0;0;Assembler pour stock;;False;2021-11-30 00:00:00;2.17;Par défaut;;3.25567;;;;;False;False;False;0;True;True
01550M1025A;BLOT;BOULON;SUZUKI;False;PCS;True;5.846;0;CAR PRO PARTS;BLOT;False;PR;0;0;Assembler pour stock;;False;2024-01-05 00:00:00;0;Par défaut;;0;;;;;False;False;False;0;False;True
01550M1040A;BOLT;BOULON;SUZUKI;False;PCS;True;3.064;2.91837;CAR PRO PARTS;;False;PR;2;52;Assembler pour stock;;False;2024-04-25 00:00:00;0.4582;Par défaut;;0.672;;;;;False;False;False;0;True;True
01550M1050A;BOLT;BOULON;SUZUKI;False;PCS;True;5.716;0;CAR PRO PARTS;BOLT;False;PR;0;0;Assembler pour stock;;False;2024-04-02 00:00:00;0;Par défaut;;0;;;;;False;False;False;0;False;True
01551-0616C-000;BOLT;BOULON;;False;PCS;True;11.133;10.60269;CAR PRO PARTS;;False;PR;48;48;Assembler pour stock;;False;2021-11-30 00:00:00;1.2075;Par défaut;;1.69154;;;;;False;False;False;0;True;True
01551-1025C-000;BOLT AMF310;BOULON;;False;PCS;True;20.357;19.3879;CAR PRO PARTS;;False;PR;52;52;Assembler pour stock;;False;2021-11-30 00:00:00;3.11;Par défaut;;3.11021;;;;;False;False;False;0;True;True
02162-0616A-000;SCREW;VIS;SUZUKI;False;PCS;True;9.543;9.088513875;CAR PRO PARTS;;False;PR;30;30;Assembler pour stock;;False;2024-07-03 00:00:00;1.035;Par défaut;;1.44183;;;;;False;False;False;0;True;True
02162M0616A;BOLT;;;False;PCS;True;3.515;3.348;CAR PRO PARTS;;False;PR;50;159;Assembler pour stock;;False;;3.482;Par défaut;;2.41864;;;;;False;False;False;0;False;True
022-036-06WAS;PARE HUILE;;;False;PCS;True;5.39123;0;;PARE HUILE;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;0;Par défaut;;2.481;;;;;False;False;False;0;False;True
0242229630;BOUGIE D'ALLUMAGE;;;False;PCS;True;14.2002;12.88;;BOUGIE D'ALLUMAGE;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;4.88;Par défaut;;3.2535;;;;;False;False;False;0;True;True
0242235666;BOUGIE D'ALLUMAGE;;;False;PCS;True;0;0;;BOUGIE D'ALLUMAGE;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;2.828;Par défaut;;2.828;;8200956481;;;False;False;False;0;True;True
02498624LH;CACHE ANTI B;;;False;PCS;True;91.49427;82.988;;CACHE ANTI B;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;69.157;Par défaut;;69.157;;;;;False;False;False;0;False;True
0250202020;BOUGIE DE PERCHAUFFAGE CITROEN/PEUGEOT;;;False;PCS;True;20.07212;18.206;;BOUGIE DE PERCHAUFFAGE CITROEN/PEUGEOT;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;15.332;Par défaut;;14.565;;;;;False;False;False;0;False;True
030115561AN;FILTRE A HUILE;;;False;PCS;True;22.4658;0;;FILTRE A HUILE;True;PR;0;0;Assembler pour stock;;False;2023-08-15 00:00:00;18.187;Par défaut;;18.187;;;;;False;False;False;0;False;True
