Enabled;Field No.;Field Name;Caption;Data Type;Length;Description;Field Class;Option String
Yes;1;No.;N°;Code;20;;Normal;
Yes;2;No. 2;N° 2;Code;20;;Normal;
Yes;3;Description;Désignation;Text;100;;Normal;
Yes;4;Search Description;Désignation de recherche;Code;100;;Normal;
Yes;5;Description 2;Désignation 2;Text;50;;Normal;
Yes;6;Assembly BOM;Nomenclature d'élément d'assemblage;Boolean;;;FlowField;
Yes;8;Base Unit of Measure;Unité de base;Code;10;;Normal;
Yes;9;Price Unit Conversion;Conversion unité de prix;Integer;;;Normal;
Yes;10;Type;Type;Option;;;Normal;Inventory,Service,Non-Inventory
Yes;11;Inventory Posting Group;Groupe compta. stock;Code;20;;Normal;
Yes;12;Shelf No.;N° emplacement;Code;10;;Normal;
Yes;14;Item Disc. Group;Groupe rem. article;Code;20;;Normal;
Yes;15;Allow Invoice Disc.;Remise facture autorisée;Boolean;;;Normal;
Yes;16;Statistics Group;Groupe statistiques;Integer;;;Normal;
Yes;17;Commission Group;Groupe commissions;Integer;;;Normal;
Yes;18;Unit Price;Prix unitaire;Decimal;;;Normal;
Yes;19;Price/Profit Calculation;Calcul prix ou marge;Option;;;Normal;Profit=Price-Cost,Price=Cost+Profit,No Relationship
Yes;20;Profit %;% marge réel;Decimal;;;Normal;
Yes;21;Costing Method;Mode évaluation stock;Option;;;Normal;FIFO,LIFO,Specific,Average,Standard
Yes;22;Unit Cost;Coût unitaire;Decimal;;;Normal;
Yes;24;Standard Cost;Coût standard;Decimal;;;Normal;
Yes;25;Last Direct Cost;Dernier coût direct;Decimal;;;Normal;
Yes;28;Indirect Cost %;% coût indirect;Decimal;;;Normal;
Yes;29;Cost is Adjusted;Coût ajusté;Boolean;;;Normal;
Yes;30;Allow Online Adjustment;Autoriser l'ajustement en ligne;Boolean;;;Normal;
Yes;31;Vendor No.;N° fournisseur;Code;20;;Normal;
Yes;32;Vendor Item No.;Référence fournisseur;Text;20;;Normal;
Yes;33;Lead Time Calculation;Délai de réappro.;DateFormula;;;Normal;
Yes;34;Reorder Point;Point de commande;Decimal;;;Normal;
Yes;35;Maximum Inventory;Stock maximum;Decimal;;;Normal;
Yes;36;Reorder Quantity;Quantité de réappro.;Decimal;;;Normal;
Yes;37;Alternative Item No.;Référence de remplacement;Code;20;;Normal;
Yes;38;Unit List Price;Prix unitaire catalogue;Decimal;;;Normal;
Yes;39;Duty Due %;Droits de douane (%);Decimal;;;Normal;
Yes;40;Duty Code;Code taxe;Code;10;;Normal;
Yes;41;Gross Weight;Poids brut;Decimal;;;Normal;
Yes;42;Net Weight;Poids net;Decimal;;;Normal;
Yes;43;Units per Parcel;Conditionnement;Decimal;;;Normal;
Yes;44;Unit Volume;Volume unitaire;Decimal;;;Normal;
Yes;45;Durability;Durabilité;Code;10;;Normal;
Yes;46;Freight Type;Type fret;Code;10;;Normal;
Yes;47;Tariff No.;Nomenclature produits;Code;20;;Normal;
Yes;48;Duty Unit Conversion;Unité de conversion douanière;Decimal;;;Normal;
Yes;49;Country/Region Purchased Code;Code pays/région achat;Code;10;;Normal;
Yes;50;Budget Quantity;Quantité budgétée;Decimal;;;Normal;
Yes;51;Budgeted Amount;Montant budgété;Decimal;;;Normal;
Yes;52;Budget Profit;Marge budgétée;Decimal;;;Normal;
Yes;53;Comment;Commentaires;Boolean;;;FlowField;
Yes;54;Blocked;Bloqué;Boolean;;;Normal;
Yes;55;Cost is Posted to G/L;Le coût est validé en comptabilité;Boolean;;;FlowField;
Yes;56;Block Reason;Motif du blocage;Text;250;;Normal;
Yes;61;Last DateTime Modified;Date-heure dernière modification;DateTime;;;Normal;
Yes;62;Last Date Modified;Date dern. modification;Date;;;Normal;
Yes;63;Last Time Modified;Heure dern. modification;Time;;;Normal;
Yes;64;Date Filter;Filtre date;Date;;;FlowFilter;
Yes;65;Global Dimension 1 Filter;Filtre axe principal 1;Code;20;;FlowFilter;
Yes;66;Global Dimension 2 Filter;Filtre axe principal 2;Code;20;;FlowFilter;
Yes;67;Location Filter;Filtre magasin;Code;10;;FlowFilter;
Yes;68;Inventory;Stocks;Decimal;;;FlowField;
Yes;69;Net Invoiced Qty.;Solde quantités facturées;Decimal;;;FlowField;
Yes;70;Net Change;Solde période;Decimal;;;FlowField;
Yes;71;Purchases (Qty.);Achats (qté);Decimal;;;FlowField;
Yes;72;Sales (Qty.);Ventes (qté);Decimal;;;FlowField;
Yes;73;Positive Adjmt. (Qty.);Ajust. positif (qté);Decimal;;;FlowField;
Yes;74;Negative Adjmt. (Qty.);Ajust. négatif (qté);Decimal;;;FlowField;
Yes;77;Purchases (LCY);Achats DS;Decimal;;;FlowField;
Yes;78;Sales (LCY);Ventes DS;Decimal;;;FlowField;
Yes;79;Positive Adjmt. (LCY);Ajust. positif DS;Decimal;;;FlowField;
Yes;80;Negative Adjmt. (LCY);Ajust. négatif DS;Decimal;;;FlowField;
Yes;83;COGS (LCY);Val. sortie stock DS;Decimal;;;FlowField;
Yes;84;Qty. on Purch. Order;Qté sur commande achat;Decimal;;;FlowField;
Yes;85;Qty. on Sales Order;Qté sur commande vente;Decimal;;;FlowField;
Yes;87;Price Includes VAT;Prix TTC;Boolean;;;Normal;
Yes;89;Drop Shipment Filter;Filtre livraison directe;Boolean;;;FlowFilter;
Yes;90;VAT Bus. Posting Gr. (Price);Gpe compta. marché TVA (prix);Code;20;;Normal;
Yes;91;Gen. Prod. Posting Group;Groupe compta. produit;Code;20;;Normal;
Yes;92;Picture;Image;MediaSet;;;Normal;
Yes;93;Transferred (Qty.);Quantité transférée;Decimal;;;FlowField;
Yes;94;Transferred (LCY);Montant transféré DS;Decimal;;;FlowField;
Yes;95;Country/Region of Origin Code;Code pays/région origine;Code;10;;Normal;
Yes;96;Automatic Ext. Texts;Textes étendus automatiques;Boolean;;;Normal;
Yes;97;No. Series;Souches de n°;Code;20;;Normal;
Yes;98;Tax Group Code;Code groupe taxes;Code;20;;Normal;
Yes;99;VAT Prod. Posting Group;Groupe compta. produit TVA;Code;20;;Normal;
Yes;100;Reserve;Réserver;Option;;;Normal;Never,Optional,Always
Yes;101;Reserved Qty. on Inventory;Quantité réservée sur stock;Decimal;;;FlowField;
Yes;102;Reserved Qty. on Purch. Orders;Quantité réservée cdes achat;Decimal;;;FlowField;
Yes;103;Reserved Qty. on Sales Orders;Quantité réservée cdes vente;Decimal;;;FlowField;
Yes;105;Global Dimension 1 Code;Code axe principal 1;Code;20;;Normal;
Yes;106;Global Dimension 2 Code;Code axe principal 2;Code;20;;Normal;
Yes;107;Res. Qty. on Outbound Transfer;Qté rés. désenlogt transfert;Decimal;;;FlowField;
Yes;108;Res. Qty. on Inbound Transfer;Qté rés. enlogt transfert;Decimal;;;FlowField;
Yes;109;Res. Qty. on Sales Returns;Res. Qty. on Sales Returns;Decimal;;;FlowField;
